,icao,pred_idx,gt_idx,iou,category
0,KBOS,8,56,0.8427020326261156,inter
1,KBTL,12,69,0.8336132373919044,inter
2,KHVN,36,225,0.8626481269474408,inter
3,KHYA,37,229,0.9076574495530162,inter
4,KHYA,38,227,0.8076898323028328,inter
5,KMCI,43,283,0.9141428322161719,inter
,,,,,
,,,,,
,,,,,
,KABY,,,,
,KACK,,,,
,KAVP,,,,
,KBED,,,,
,KBOS,,,,
,KBTL,,,,
,KBUF,,,,
,KBUR,,,,
,KCCR,,,,
,KCNM,,,,
,KDHN,,,,
,KELM,,,,
,KESN,,,,
,KEWB,,,,
,KFAR,,,,
,KFRG,,,,
,KGFK,,,,
,KHVN,,,,
,KHYA,,,,
,KMAF,,,,
,KMCI,,,,
,KMQY,,,,
,KPDK,,,,
,KSFO,,,,
,KSHV,,,,
