,icao,pred_idx,gt_idx,iou,category
0,KATL,0,21,0.8680803269720706,complex
1,KATL,1,23,0.9096340907144597,complex
2,KATL,2,20,0.8841074087526691,complex
3,KATL,3,24,0.8829955959663854,complex
4,KBNA,4,36,0.9082725590980552,complex
5,KBNA,6,37,0.9157099849015623,complex
6,KCVG,9,117,0.8882423599730708,complex
7,KDEN,12,124,0.9172582902660861,complex
8,KDFW,14,129,0.9269842037758862,complex
9,KDTW,22,142,0.9065719156312558,complex
10,KFFZ,23,193,0.9064275560208221,complex
11,KIAD,26,232,0.9194097371095623,complex
12,KIAD,28,231,0.9206111199983494,complex
13,KIAH,29,234,0.926451866128193,complex
14,KIAH,30,236,0.9111496740569318,complex
15,KIAH,31,238,0.9040582934612691,complex
16,KIAH,32,237,0.908152221051146,complex
17,KIAH,33,235,0.9315039539342758,complex
18,KLAS,34,251,0.9099152563696612,complex
19,KLAS,35,252,0.907891206789844,complex
20,KLAS,36,253,0.9201021498416216,complex
21,KLAS,37,255,0.878765253316313,complex
22,KMEM,38,288,0.8940311384078921,complex
23,KMEM,39,285,0.8895020472653823,complex
24,KMEM,40,287,0.8858523309520527,complex
25,KMEM,41,286,0.9126066397429824,complex
26,KMSP,48,328,0.9364672514173584,complex
27,KORD,53,363,0.9100069338344686,complex
28,KORD,54,362,0.9205973426932774,complex
29,KORD,56,360,0.9045240716462861,complex
30,KOSH,57,373,0.8676095793333779,complex
31,KOSH,58,374,0.8775042013988407,complex
32,KPIT,60,407,0.8812662301476692,complex
33,KPIT,63,402,0.8927173307140495,complex
34,KSLC,67,454,0.8791127767520589,complex
35,KSMF,68,460,0.8603791662924469,complex
