,icao,pred_idx,gt_idx,iou,category
0,KABY,0,21,0.871112303844929,inter
1,KABY,1,8,0.8745983110691072,inter
2,KACK,2,62,0.9468415226796215,inter
3,KACK,3,6,0.824260555500581,inter
4,KAVP,4,16,0.9255606192685595,inter
5,KAVP,5,9,0.9488900329692659,inter
6,KBED,6,15,0.9096739535841738,inter
7,KBED,7,19,0.9329471425823759,inter
8,KBOS,8,7,0.8427012211625973,inter
9,KBOS,9,54,0.906423371762694,inter
10,KBOS,10,61,0.9395129568493823,inter
11,KBOS,11,30,0.8688376755412436,inter
12,KBTL,12,27,0.9293395733872316,inter
13,KBTL,13,5,0.9251231074971057,inter
14,KBTL,14,29,0.8885709718104964,inter
15,KBUF,15,57,0.9118939155850335,inter
16,KBUF,16,43,0.9206955119547097,inter
17,KBUR,17,47,0.8740997207187763,inter
18,KBUR,18,45,0.9008303544577849,inter
19,KCCR,19,65,0.8446670149317014,inter
20,KCCR,20,42,0.8732384223307983,inter
21,KCNM,21,26,0.9157793186232578,inter
22,KCNM,22,51,0.9222343577622832,inter
23,KDHN,23,12,0.900355219350413,inter
24,KDHN,24,46,0.9080641862995935,inter
25,KELM,25,10,0.8656980339215694,inter
26,KELM,26,53,0.9025261452731809,inter
27,KESN,27,1,0.8934691374784574,inter
28,KESN,28,34,0.9260058364924324,inter
29,KEWB,29,52,0.8184823140428991,inter
30,KFAR,32,13,0.9386948675253212,inter
31,KFRG,33,63,0.9260319183871019,inter
32,KHVN,36,55,0.8625814180616472,inter
33,KHYA,37,20,0.9307097951253114,inter
34,KHYA,38,40,0.930401159423536,inter
35,KLMT,39,35,0.9444838424349654,inter
36,KMAF,40,17,0.8996916123500511,inter
37,KMCI,42,59,0.9076496270924328,inter
38,KMCI,43,2,0.8539869089928125,inter
39,KMCI,44,28,0.9141434832361842,inter
40,KMQY,45,33,0.8201870741433718,inter
41,KMQY,46,44,0.9072882048252051,inter
42,KPDK,48,36,0.8588410092105014,inter
43,KSFO,49,48,0.9398839274699794,inter
44,KSFO,50,41,0.932551331527478,inter
45,KSFO,51,11,0.9331779396957671,inter
46,KSFO,52,37,0.941648797093705,inter
47,KSHV,53,56,0.9591659844369093,inter
48,KSHV,54,60,0.9221190503954413,inter
