,icao,pred_idx,gt_idx,iou,category
0,KABQ,1,3,0.8630239292047721,mixed
1,KDET,7,126,0.9292887088203758,mixed
2,KDWH,9,159,0.8896020960248651,mixed
3,KELP,10,168,0.926176463395077,mixed
4,KELP,12,167,0.9167691079675949,mixed
5,KEUG,13,174,0.9360919838721278,mixed
6,KEVV,14,181,0.8044396076365294,mixed
7,KLBB,19,260,0.9279520341496003,mixed
8,KNEW,24,335,0.8947135775433186,mixed
9,KOQU,27,357,0.8180686394302313,mixed
10,KSBP,30,423,0.9361693550793219,mixed
11,KSDM,31,427,0.9003503100716308,mixed
12,KSLK,32,459,0.9279353492221919,mixed
13,KSLK,33,457,0.8865752980263778,mixed
14,KSSI,34,466,0.9138396925489503,mixed
15,KSSI,35,467,0.8137539363272949,mixed
16,KTOA,37,470,0.8017446651504303,mixed
