,icao,pred_idx,gt_idx,iou,category
0,KADW,0,16,0.9333757617687926,parallel
1,KADW,1,17,0.9333363426635218,parallel
2,KAFW,2,19,0.9567608229351551,parallel
3,KAFW,3,18,0.9176429147540976,parallel
4,KATL,4,21,0.8680803269720706,parallel
5,KATL,5,23,0.9096340907144597,parallel
6,KATL,6,20,0.8841074087526691,parallel
7,KATL,7,24,0.8829955959663854,parallel
8,KBOI,8,44,0.9239392969658675,parallel
9,KBOI,9,43,0.9208868529211175,parallel
10,KBZN,11,80,0.9197270516481871,parallel
11,KDVT,14,157,0.9041270139590407,parallel
12,KDVT,15,156,0.8986541965546384,parallel
13,KHND,16,217,0.8210680247221427,parallel
14,KHND,17,218,0.8476173575376678,parallel
15,KHSV,18,224,0.8596317609860077,parallel
16,KILN,19,239,0.8422113568408212,parallel
17,KILN,20,240,0.9455988567196986,parallel
18,KIWA,21,242,0.9099653936797792,parallel
19,KIWA,22,243,0.9340356275775104,parallel
20,KIWA,23,241,0.9302312329775305,parallel
21,KJFK,24,245,0.8956764733922356,parallel
22,KJFK,25,246,0.929631528872935,parallel
23,KLAX,28,256,0.8614276388169386,parallel
24,KLAX,29,257,0.9237974038369093,parallel
25,KLAX,30,258,0.9311641389743212,parallel
26,KLCK,31,265,0.9340401168384761,parallel
27,KLCK,32,264,0.9095476082914575,parallel
28,KLSV,33,266,0.8896133058189692,parallel
29,KMOD,35,312,0.9369683822076499,parallel
30,KPHX,36,398,0.8928628444700213,parallel
31,KPHX,37,399,0.9100376139348816,parallel
32,KPHX,38,397,0.9397457816067339,parallel
33,KPSP,39,410,0.8529075766784,parallel
34,KPTK,41,412,0.9268333043272422,parallel
35,KSCK,43,425,0.9127359880694305,parallel
36,KSDM,44,427,0.9089990658442062,parallel
37,KSPS,46,462,0.9264988556924725,parallel
38,KSPS,47,464,0.9138133566347442,parallel
39,KTYS,48,484,0.9244333104836956,parallel
