,icao,pred_idx,gt_idx,iou,category
0,KADS,0,15,0.9052221820829519,single
1,KAVL,1,27,0.9290066279125351,single
2,KCHO,2,94,0.9154592005454085,single
3,KCMA,3,95,0.9298910869698612,single
4,KCRW,4,113,0.9395143682212854,single
5,KGCN,5,203,0.8173988731547619,single
6,KGEU,6,204,0.885226382754641,single
7,KGKY,7,212,0.9479167139816593,single
8,KGRK,8,213,0.9285770898521902,single
9,KGSP,9,214,0.9198731175586379,single
10,KGYR,10,216,0.9130753807901624,single
11,KJAC,11,244,0.8587093131462631,single
12,KLBE,12,263,0.9158128580172793,single
13,KMDT,13,284,0.9207357754039165,single
14,KMER,14,289,0.89854365720682,single
15,KMFR,15,295,0.9442726434804007,single
16,KMYR,16,332,0.912648539637634,single
17,KPSM,17,408,0.8725070469521566,single
18,KRYY,18,414,0.896950875309514,single
19,KSDL,19,426,0.9109957345636087,single
20,KTKI,21,468,0.8975755104268283,single
21,KTTD,22,476,0.8690704102052,single
22,KUNV,23,486,0.9183120317686009,single
