cat,variant,IoU,N>0.8
single,base_hull,0.8547,14
single,MAR_pad0,0.8608,17
single,MAR_pad-2,0.8414,8
single,MAR_pad-5,,0
single,MAR_pad2,0.8975,18
single,MAR_pad5,0.9009,19
parallel,base_hull,0.8652,19
parallel,MAR_pad0,0.8744,19
parallel,MAR_pad-2,0.8426,13
parallel,MAR_pad-5,,0
parallel,MAR_pad2,0.8985,22
parallel,MAR_pad5,0.8874,21
inter,base_hull,0.8624,21
inter,MAR_pad0,0.8707,21
inter,MAR_pad-2,0.8462,14
inter,MAR_pad-5,0.8259,3
inter,MAR_pad2,0.8936,23
inter,MAR_pad5,0.883,23
mixed,base_hull,0.8808,15
mixed,MAR_pad0,0.8714,17
mixed,MAR_pad-2,0.8406,13
mixed,MAR_pad-5,0.8224,1
mixed,MAR_pad2,0.8886,20
mixed,MAR_pad5,0.8758,19
complex,base_hull,0.8795,17
complex,MAR_pad0,0.8877,17
complex,MAR_pad-2,0.8573,15
complex,MAR_pad-5,0.8404,4
complex,MAR_pad2,0.8907,21
complex,MAR_pad5,0.8779,20
